_type,_id,_revision,_page.next,gr_gyv_id,gyv_pav,gyventoju_sk,taskas_wgs
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,79973235-9722-4950-a6d2-7f5bb5d16223,3bdee775-5b04-4ac1-b145-588043274959,,1,Vilniaus m.,546155,POINT (54.69290608 25.2743348)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,c0e78835-cb3b-4ea6-b14a-ca072a276d50,28542fa6-5987-429c-9891-18de273e9c1c,,10,Panevėžio m.,89100,POINT (55.73043458 24.34687458)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,c60833e3-4d12-43c6-a06e-cdb79440ca4b,b7ce47d0-b7c9-47d3-a7a0-a772266cd9f2,,100,Švenčionių m.,4448,POINT (55.12866967 26.16891142)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,b629e6e3-e9cb-4977-bae6-f8a44e3f4ba9,94d55435-7198-489e-8097-986b81e6cea2,,10000,Papečių k.,59,POINT (54.26713697 23.54904672)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,e5b605b8-ba78-4ef8-9f2e-7f0d23f25feb,c1864dfd-b3ed-4d80-a720-12a4df8ac6af,,10001,Petravičių k.,26,POINT (54.27087334 23.65222424)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,99b5b997-8956-4f8f-81ef-446a77a5259b,28fe51f0-19c8-4e60-b34c-89fa6c05776f,,10002,Prelomčiškės k.,9,POINT (54.31051504 23.64328781)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,e1c666a2-9a80-4118-8da4-aa72337f95e0,05266219-c2ce-431f-974f-bd2f1e6a4e83,,10003,Prygos k.,48,POINT (54.31454437 23.62121372)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,6f902bfa-f5ca-4673-842a-ba4edd0c1ebf,a132da4c-c82c-46d3-b8b6-521913e7b94d,,10004,Randiškės k.,22,POINT (54.30082494 23.5877634)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,7055529f-6c69-4514-b767-2816cc843562,3e2c7b6e-4dbb-40ba-82bc-c461031d262d,,10006,Sabinavo k.,8,POINT (54.25965158 23.66751012)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,9d1087bc-df30-4c54-afc5-e9e969cd5c8c,e47120bf-b476-40b8-8c14-05c22a4f1697,,10007,Seimeniškių k.,72,POINT (54.31412239 23.59845163)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,ad39e5e2-c037-4631-b816-7a8c82478f80,879c7872-3553-4e02-960d-a4893a1334cd,,10008,Skovagalių k.,28,POINT (54.34213062 23.62408941)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,5e454f2e-6bc8-46f1-970c-4237c793f7c2,bbbf1e23-7691-454b-a762-97641802c1a2,,10009,Staidarų k.,48,POINT (54.25780606 23.52831514)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,84ee66ab-4b92-4c5c-9742-b8ea62be98f0,c30d4cd7-0bb8-4c87-afc0-4c825d50aeed,,10010,Staigūnų k.,6,POINT (54.26468277 23.68224923)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,b2e4375d-2630-4688-bedc-8f0bd9f60a57,b2ededa8-29c8-4092-8737-b2fc6b242a77,,10011,Stebulių k.,113,POINT (54.32883781 23.61416308)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,84dc3e7d-1aaa-4694-bf7e-d2766190e416,cedce39e-b90e-40e5-8d28-94609a55883e,,10012,Teizininkų k.,59,POINT (54.2937296 23.62092739)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,f547b97c-fd9e-44c2-bc8c-45d165b8dbf8,c4e3bff4-abec-4c36-856d-79e358b65018,,10013,Teizų k.,226,POINT (54.26646547 23.62651608)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,50022773-cfcd-41be-a15f-b4fb9f088857,f43e937e-140f-4dae-bb0e-972f62271a56,,10014,Vaideliotų k.,3,POINT (54.29659516 23.60440506)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,bb351932-8a60-43dc-99be-0f8ab0029f30,673a2237-288d-4b21-822b-9844b3c6a5ac,,10015,Verstaminų k.,203,POINT (54.28829764 23.57248854)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,40615df5-37f3-41b3-9df8-a50550c478ca,d7726d6b-73e0-4923-8bd8-1d55131177d3,,10016,Zebrėnų k.,7,POINT (54.2785995 23.66633707)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,22fa6a75-a6ac-431c-bf55-1baf8f4ce27f,fdbd5c70-2d5f-4e70-bc53-af159d12e29c,,10017,Znicos k.,4,POINT (54.30831914 23.58786125)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,de150346-8443-4866-8fe3-80e0cc6eca27,97c1c07b-64f6-4638-ab86-01e3fee901fd,,10018,Babrų k.,36,POINT (54.22112621 23.67884783)
datasets/gov/lsd/sgr/gyventojai_gyvenvietese/GyventojuSkaiciusGyvenvietese,eaf2038f-7c4c-415f-ae01-a2aa7f7d7530,ebfe6a6b-c654-425e-9b46-91719ee329a9,,10019,Burakavo k.,17,POINT (54.24533689 23.67027552)
